Plate,Well,Condition_ID,K₂HPO₄·3H₂O,NaH₂PO₄·H₂O,(NH₄)₂SO₄,Sodium citrate,CoCl₂·6H₂O,NdCl₃·6H₂O,Succinate,Methanol,PQQ
Plate_2,B3,LHS_105,0.5 mM,1.709976 mM,100.0 mM,1.0 mM,4.641589 µM,2.236068 µM,0.0 mM,208.089573 mM,10.0 nM
Plate_2,B4,LHS_106,1.709976 mM,20.0 mM,1.0 mM,1.0 mM,100.0 µM,4.728708 µM,1.5 mM,86.60254 mM,215.443469 nM
Plate_2,B5,LHS_107,0.5 mM,5.848035 mM,1.0 mM,0.1 mM,100.0 µM,1.057371 µM,0.0 mM,36.042171 mM,46.415888 nM
Plate_2,B6,LHS_108,0.5 mM,1.709976 mM,21.544347 mM,0.01 mM,0.215443 µM,10.0 µM,150.0 mM,86.60254 mM,0.0 nM
Plate_2,B7,LHS_109,1.709976 mM,20.0 mM,21.544347 mM,0.1 mM,4.641589 µM,0.5 µM,1.5 mM,208.089573 mM,0.0 nM
Plate_2,B8,LHS_110,20.0 mM,1.709976 mM,4.641589 mM,0.01 mM,0.01 µM,0.5 µM,1.5 mM,86.60254 mM,1000.0 nM
Plate_2,B9,LHS_111,5.848035 mM,20.0 mM,4.641589 mM,10.0 mM,0.215443 µM,4.728708 µM,1.5 mM,208.089573 mM,1000.0 nM
Plate_2,C1,LHS_115,0.5 mM,5.848035 mM,21.544347 mM,10.0 mM,0.01 µM,2.236068 µM,1.5 mM,86.60254 mM,0.0 nM
Plate_2,C10,LHS_124,0.5 mM,1.709976 mM,1.0 mM,0.01 mM,4.641589 µM,1.057371 µM,1.5 mM,15.0 mM,0.0 nM
Plate_2,C11,LHS_125,5.848035 mM,5.848035 mM,4.641589 mM,10.0 mM,4.641589 µM,4.728708 µM,150.0 mM,15.0 mM,10.0 nM
Plate_2,C12,LHS_126,5.848035 mM,5.848035 mM,21.544347 mM,0.1 mM,0.01 µM,0.5 µM,150.0 mM,15.0 mM,215.443469 nM
Plate_2,C2,LHS_116,5.848035 mM,1.709976 mM,100.0 mM,1.0 mM,0.215443 µM,4.728708 µM,1.5 mM,500.0 mM,10.0 nM
Plate_2,C3,LHS_117,1.709976 mM,20.0 mM,21.544347 mM,10.0 mM,4.641589 µM,4.728708 µM,150.0 mM,15.0 mM,10.0 nM
Plate_2,C4,LHS_118,1.709976 mM,5.848035 mM,1.0 mM,0.1 mM,100.0 µM,1.057371 µM,1.5 mM,36.042171 mM,10.0 nM
Plate_2,C5,LHS_119,20.0 mM,1.709976 mM,1.0 mM,0.1 mM,4.641589 µM,2.236068 µM,1.5 mM,15.0 mM,1000.0 nM
Plate_2,C6,LHS_120,0.5 mM,1.709976 mM,100.0 mM,0.1 mM,4.641589 µM,1.057371 µM,0.0 mM,500.0 mM,46.415888 nM
Plate_2,C7,LHS_121,5.848035 mM,1.709976 mM,4.641589 mM,0.1 mM,100.0 µM,1.057371 µM,0.0 mM,86.60254 mM,1000.0 nM
Plate_2,C8,LHS_122,1.709976 mM,20.0 mM,4.641589 mM,0.01 mM,0.01 µM,1.057371 µM,0.0 mM,36.042171 mM,10.0 nM
Plate_2,C9,LHS_123,20.0 mM,0.5 mM,4.641589 mM,0.01 mM,0.215443 µM,1.057371 µM,150.0 mM,36.042171 mM,46.415888 nM
Plate_2,D1,LHS_127,0.5 mM,5.848035 mM,4.641589 mM,10.0 mM,0.01 µM,0.5 µM,1.5 mM,36.042171 mM,1000.0 nM
Plate_2,D2,LHS_128,0.5 mM,20.0 mM,4.641589 mM,10.0 mM,0.01 µM,10.0 µM,0.0 mM,86.60254 mM,1000.0 nM
Plate_2,D3,LHS_129,5.848035 mM,0.5 mM,4.641589 mM,0.1 mM,4.641589 µM,1.057371 µM,150.0 mM,15.0 mM,10.0 nM
